# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.111596
# Diagonal elements of inverse mass matrix:
# 1.25188, 0.011343, 0.00758529
-87.8041,0.906397,0.111596,4,15,0,90.3672,-15.1608,1.13665,1.2921
-90.256,0.854462,0.111596,2,7,0,91.1493,-14.9785,1.12902,1.30213
-87.0527,1,0.111596,2,3,0,89.968,-15.1981,1.11287,1.27831
-86.8347,0.983893,0.111596,4,23,0,88.4382,-15.2719,1.18474,1.24265
-87.3488,0.943514,0.111596,4,31,0,88.176,-15.0957,1.20282,1.17638
-87.7035,0.992586,0.111596,4,15,0,87.8501,-15.2611,1.2256,1.17685
-86.9964,0.999056,0.111596,3,7,0,87.745,-15.1138,1.18557,1.1928
-87.2744,0.942568,0.111596,4,23,0,88.0131,-15.5071,1.21427,1.2627
-87.1814,1,0.111596,2,3,0,87.3626,-15.6532,1.20203,1.2468
-87.2808,0.96469,0.111596,5,47,0,88.3302,-15.7223,1.24567,1.25472
-87.2808,0.580388,0.111596,2,3,0,91.8194,-15.7223,1.24567,1.25472
-87.4862,0.989148,0.111596,4,31,0,89.444,-16.3622,1.28957,1.29988
-88.0134,0.951021,0.111596,2,7,0,88.905,-16.3347,1.30758,1.29674
-87.8251,0.937987,0.111596,5,35,0,89.4756,-15.0603,1.07322,1.29711
-87.1161,0.89113,0.111596,3,7,0,89.084,-15.2321,1.11307,1.2871
-87.0229,0.915234,0.111596,4,19,0,88.0412,-15.058,1.18782,1.20319
-88.3539,0.861582,0.111596,4,31,0,90.8606,-16.4153,1.21013,1.34356
-88.4361,0.989438,0.111596,4,31,0,89.9473,-15.1419,1.18965,1.16105
-88.372,0.999829,0.111596,4,31,0,91.4153,-16.4502,1.25968,1.38073
-88.1598,0.972943,0.111596,5,63,0,90.2282,-14.5858,1.05595,1.20371
-92.0371,0.779208,0.111596,2,3,0,92.5404,-13.9972,1.05795,1.22735
-87.1971,0.989619,0.111596,2,7,0,92.1597,-14.5463,1.05992,1.22486
-87.5017,0.983908,0.111596,2,3,0,87.5262,-14.4391,1.05961,1.23443
-90.1806,0.931675,0.111596,5,63,0,90.9715,-17.4322,1.41248,1.38651
-89.5617,1,0.111596,2,7,0,90.4537,-17.7062,1.41647,1.38311
-89.5379,0.998068,0.111596,5,31,0,90.2925,-17.488,1.27672,1.50007
-88.9351,0.951226,0.111596,5,43,0,92.2059,-14.0446,1.12406,1.06144
-86.8383,0.999056,0.111596,5,31,0,89.7672,-15.1489,1.12919,1.26922
-88.3359,0.74515,0.111596,2,3,0,88.7282,-15.0239,1.13812,1.28003
-89.1075,0.893085,0.111596,2,7,0,91.4078,-15.51,1.14911,1.24016
-90.3986,0.997651,0.111596,4,27,0,93.4125,-13.149,0.995142,1.02303
-90.1069,0.991965,0.111596,3,15,0,92.792,-13.0415,1.05897,1.03409
-89.089,0.893027,0.111596,4,23,0,92.405,-14.3465,1.04018,1.25985
-88.3895,0.905937,0.111596,5,43,0,90.6974,-16.3637,1.32668,1.27171
-88.426,0.999914,0.111596,5,31,0,88.8228,-15.5891,1.09832,1.35171
-86.813,1,0.111596,4,15,0,88.5652,-15.3041,1.13685,1.27502
-87.5023,0.939207,0.111596,5,31,0,87.7276,-14.3474,1.08208,1.1502
-86.9958,0.943082,0.111596,2,3,0,88.0523,-14.1716,1.08977,1.15679
-86.9586,0.969403,0.111596,5,35,0,87.577,-15.3512,1.13813,1.26835
-87.7333,0.933498,0.111596,2,3,0,87.8961,-15.2131,1.15835,1.28202
-87.9856,0.980747,0.111596,3,15,0,88.4076,-15.7369,1.17658,1.26606
-87.5476,0.977349,0.111596,2,3,0,88.557,-15.4207,1.20801,1.26259
-87.0179,0.911696,0.111596,4,23,0,89.4733,-16.1068,1.2298,1.32357
-87.5289,0.921445,0.111596,2,3,0,87.652,-16.0347,1.234,1.32966
-87.3586,0.843611,0.111596,2,7,0,88.9383,-16.2033,1.21982,1.31823
-88.1657,0.961819,0.111596,4,19,0,89.1359,-16.2271,1.30359,1.28912
-88.3091,0.905565,0.111596,2,7,0,89.6781,-16.3662,1.31103,1.261
-90.0987,0.773304,0.111596,3,11,0,93.6289,-16.5462,1.28253,1.27276
-88.2384,0.995779,0.111596,5,35,0,90.1107,-14.9521,1.12696,1.27685
-87.2927,0.911729,0.111596,4,27,0,90.494,-15.9263,1.21067,1.32896
-88.7534,0.877257,0.111596,2,3,0,88.9803,-16.2795,1.19257,1.33101
-88.9572,0.995497,0.111596,4,31,0,91.7182,-15.0117,1.03953,1.30418
-87.4082,0.993133,0.111596,4,15,0,89.5262,-15.9956,1.24328,1.26328
-87.2119,0.993151,0.111596,4,31,0,88.1332,-15.5591,1.21849,1.26431
-87.7704,0.917219,0.111596,4,31,0,89.3849,-14.4873,1.1566,1.15891
-88.0164,0.971876,0.111596,4,19,0,88.7673,-14.4803,1.09222,1.23108
-86.8775,0.899438,0.111596,4,31,0,89.8357,-15.4804,1.14882,1.29212
-87.5495,0.933839,0.111596,5,31,0,88.6153,-16.3256,1.21108,1.34748
-88.3438,0.991682,0.111596,4,15,0,88.7999,-16.2339,1.29929,1.24683
-88.916,0.86397,0.111596,5,31,0,90.3091,-14.5591,1.01676,1.24171
-88.0892,1,0.111596,2,3,0,88.9718,-14.4345,1.0219,1.24814
-87.8073,0.958576,0.111596,5,47,0,89.2844,-15.907,1.28092,1.24379
-87.6816,0.868265,0.111596,5,47,0,89.6337,-14.8446,1.07165,1.24096
